"","x"
"1","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"2","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"3","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"4","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"5","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"6","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"7","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"8","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"9","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"10","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"11","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"12","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"13","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"14","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"15","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"16","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"17","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"18","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"19","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"20","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"21","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"22","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"23","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"24","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"25","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"26","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"27","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"28","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"29","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"30","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"31","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"32","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"33","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"34","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"35","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"36","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"37","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"38","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"39","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"40","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"41","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"42","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"43","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"44","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"45","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"46","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"47","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"48","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"49","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"50","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"51","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"52","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"53","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"54","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"55","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"56","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"57","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"58","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"59","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"60","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"61","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"62","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"63","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"64","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"65","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"66","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"67","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"68","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"69","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"70","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"71","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"72","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"73","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"74","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"75","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"76","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"77","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"78","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"79","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"80","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"81","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"82","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"83","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"84","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"85","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"86","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"87","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"88","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"89","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"90","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"91","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"92","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"93","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"94","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"95","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"96","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"97","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"98","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"99","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"100","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"101","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"102","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"103","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"104","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"105","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"106","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"107","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"108","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"109","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"110","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"111","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"112","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"113","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"114","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"115","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"116","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"117","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"118","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"119","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"120","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"121","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"122","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"123","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"124","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"125","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"126","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"127","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"128","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"129","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"130","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"131","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"132","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"133","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"134","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"135","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"136","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"137","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"138","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"139","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"140","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"141","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"142","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"143","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"144","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"145","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"146","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"147","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"148","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"149","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"150","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"151","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"152","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"153","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"154","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"155","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"156","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"157","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"158","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"159","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"160","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"161","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"162","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"163","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"164","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"165","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"166","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"167","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"168","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"169","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"170","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"171","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"172","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"173","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"174","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"175","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"176","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"177","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"178","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"179","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"180","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"181","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"182","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"183","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"184","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"185","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"186","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"187","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"188","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"189","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"190","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"191","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"192","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"193","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"194","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"195","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"196","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"197","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"198","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"199","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"200","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"201","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"202","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"203","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"204","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"205","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"206","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"207","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"208","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"209","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"210","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"211","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"212","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"213","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"214","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"215","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"216","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"217","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"218","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"219","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"220","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"221","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"222","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"223","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"224","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"225","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"226","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"227","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"228","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"229","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"230","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"231","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"232","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"233","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"234","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"235","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"236","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"237","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"238","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"239","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"240","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"241","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"242","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"243","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"244","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"245","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"246","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"247","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"248","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"249","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"250","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"251","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"252","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"253","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"254","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"255","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"256","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"257","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"258","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"259","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"260","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"261","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"262","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"263","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"264","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"265","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"266","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"267","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"268","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"269","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"270","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"271","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"272","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"273","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"274","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"275","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"276","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"277","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"278","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"279","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"280","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"281","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"282","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"283","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"284","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"285","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"286","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"287","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"288","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"289","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"290","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"291","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"292","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"293","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"294","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
