filename,Mouse ,Day,Treatment,Peak_colitis,Days_Post_DSS
V_D1_28,D1,28,colitis,no,19
V_D3_28,D3,28,colitis,no,19
V_C1_28,C1,28,control,no,19
V_C2_28,C2,28,control,no,19
V_C3_28,C3,28,control,no,19
V_D1_21,D1,21,colitis,no,12
V_D2_21,D2,21,colitis,no,12
V_D3_21,D3,21,colitis,no,12
V_C1_21,C1,21,control,no,12
V_C2_21,C2,21,control,no,12
V_C3_21,C3,21,control,no,12
V_D1_18,D1,18,colitis,yes,9
V_D2_18,D2,18,colitis,yes,9
V_D3_18,D3,18,colitis,yes,9
V_C1_18,C1,18,control,no,9
V_C2_18,C2,18,control,no,9
V_C3_18,C3,18,control,no,9
V_D1_17,D1,17,colitis,yes,8
V_D2_17,D2,17,colitis,yes,8
V_D3_17,D3,17,colitis,yes,8
V_C1_17,C1,17,control,no,8
V_C3_17,C3,17,control,no,8
V_C1_16,C1,16,control,no,7
V_C2_16,C2,16,control,no,7
V_C3_16,C3,16,control,no,7
V_C1_10,C1,10,control,no,1
V_C2_10,C2,10,control,no,1
V_C3_10,C3,10,control,no,1
V_D1_9,D1,9,colitis,no,0
V_D2_9,D2,9,colitis,no,0
V_D3_9,D3,9,colitis,no,0
V_C1_9,C1,9,control,no,0
V_C2_9,C2,9,control,no,0
V_C3_9,C3,9,control,no,0